,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
275,advertí,advertiste,advirtió,advertimos,advertisteis,advirtieron
276,abogué,abogaste,abogó,abogamos,abogasteis,abogaron
277,insistí,insististe,insistió,insistimos,insististeis,insistieron
278,apetecí,apeteciste,apeteció,apetecimos,apetecisteis,apetecieron
279,falté,faltaste,faltó,faltamos,faltasteis,faltaron
280,giré,giraste,giró,giramos,girasteis,giraron
281,preocupé,preocupaste,preocupó,preocupamos,preocupasteis,preocuparon
282,arreglé,arreglaste,arregló,arreglamos,arreglasteis,arreglaron
283,adelgacé,adelgazaste,adelgazó,adelgazamos,adelgazasteis,adelgazaron
284,metí,metiste,metió,metimos,metisteis,metieron
285,saludé,saludaste,saludó,saludamos,saludasteis,saludaron
286,fingí,fingiste,fingió,fingimos,fingisteis,fingieron
287,peleé,peleaste,peleó,peleamos,peleasteis,pelearon
288,piqué,picaste,picó,picamos,picasteis,picaron
289,tiré,tiraste,tiró,tiramos,tirasteis,tiraron
290,cagué,cagaste,cagó,cagamos,cagasteis,cagaron
291,vacié,vaciaste,vació,vaciamos,vaciasteis,vaciaron
292,dediqué,dedicaste,dedicó,dedicamos,dedicasteis,dedicaron
293,mudé,mudaste,mudó,mudamos,mudasteis,mudaron
294,sorprendí,sorprendiste,sorprendió,sorprendimos,sorprendisteis,sorprendieron
295,abatí,abatiste,abatió,abatimos,abatisteis,abatieron
296,uní,uniste,unió,unimos,unisteis,unieron
297,salté,saltaste,saltó,saltamos,saltasteis,saltaron
298,quemé,quemaste,quemó,quemamos,quemasteis,quemaron
299,recomencé,recomenzaste,recomenzó,recomenzamos,recomenzasteis,recomenzaron
300,odié,odiaste,odió,odiamos,odiasteis,odiaron
301,actué,actuaste,actuó,actuamos,actuasteis,actuaron
302,aparecí,apareciste,apareció,aparecimos,aparecisteis,aparecieron
303,salvé,salvaste,salvó,salvamos,salvasteis,salvaron
304,agradecí,agradeciste,agradeció,agradecimos,agradecisteis,agradecieron
305,dibujé,dibujaste,dibujó,dibujamos,dibujasteis,dibujaron
306,guardé,guardaste,guardó,guardamos,guardasteis,guardaron
307,impedí,impediste,impidió,impedimos,impedisteis,impidieron
308,aprobé,aprobaste,aprobó,aprobamos,aprobasteis,aprobaron
309,fumé,fumaste,fumó,fumamos,fumasteis,fumaron
310,celebré,celebraste,celebró,celebramos,celebrasteis,celebraron
311,recorrí,recorriste,recorrió,recorrimos,recorristeis,recorrieron
312,reuní,reuniste,reunió,reunimos,reunisteis,reunieron
313,quebré,quebraste,quebró,quebramos,quebrasteis,quebraron
314,reduje,redujiste,redujo,redujimos,redujisteis,redujeron
315,tardé,tardaste,tardó,tardamos,tardasteis,tardaron
316,merecí,mereciste,mereció,merecimos,merecisteis,merecieron
317,realicé,realizaste,realizó,realizamos,realizasteis,realizaron
318,marché,marchaste,marchó,marchamos,marchasteis,marcharon
319,ejercí,ejerciste,ejerció,ejercimos,ejercisteis,ejercieron
320,cuestioné,cuestionaste,cuestionó,cuestionamos,cuestionasteis,cuestionaron
321,competí,competiste,compitió,competimos,competisteis,compitieron
322,choqué,chocaste,chocó,chocamos,chocasteis,chocaron
323,ordené,ordenaste,ordenó,ordenamos,ordenasteis,ordenaron
324,marqué,marcaste,marcó,marcamos,marcasteis,marcaron
325,averigüé,averiguaste,averiguó,averiguamos,averiguasteis,averiguaron
326,demostré,demostraste,demostró,demostramos,demostrasteis,demostraron
327,cancelé,cancelaste,canceló,cancelamos,cancelasteis,cancelaron
328,convertí,convertiste,convirtió,convertimos,convertisteis,convirtieron
329,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron
330,acerqué,acercaste,acercó,acercamos,acercasteis,acercaron
331,pinté,pintaste,pintó,pintamos,pintasteis,pintaron
332,afeité,afeitaste,afeitó,afeitamos,afeitasteis,afeitaron
333,escondí,escondiste,escondió,escondimos,escondisteis,escondieron
334,pegué,pegaste,pegó,pegamos,pegasteis,pegaron
335,enfoqué,enfocaste,enfocó,enfocamos,enfocasteis,enfocaron
336,abolí,aboliste,abolió,abolimos,abolisteis,abolieron
337,colegí,colegiste,coligió,colegimos,colegisteis,coligieron
338,gemí,gemiste,gimió,gemimos,gemisteis,gimieron
339,abstuve,abstuviste,abstuvo,abstuvimos,abstuvisteis,abstuvieron
340,alquilé,alquilaste,alquiló,alquilamos,alquilasteis,alquilaron
341,kilometré,kilometraste,kilometró,kilometramos,kilometrasteis,kilometraron
342,apoyé,apoyaste,apoyó,apoyamos,apoyasteis,apoyaron
343,esquié,esquiaste,esquió,esquiamos,esquiasteis,esquiaron
344,amenacé,amenazaste,amenazó,amenazamos,amenazasteis,amenazaron
345,avisé,avisaste,avisó,avisamos,avisasteis,avisaron
346,planeé,planeaste,planeó,planeamos,planeasteis,planearon
347,aboqué,abocaste,abocó,abocamos,abocasteis,abocaron
