,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
77,eligiera o eligiese,eligieras o eligieses,eligiera o eligiese,eligiéramos o eligiésemos,eligierais o eligieseis,eligieran o eligiesen
78,tocara o tocase,tocaras o tocases,tocara o tocase,tocáramos o tocásemos,tocarais o tocaseis,tocaran o tocasen
79,mirara o mirase,miraras o mirases,mirara o mirase,miráramos o mirásemos,mirarais o miraseis,miraran o mirasen
80,cupiera o cupiese,cupieras o cupieses,cupiera o cupiese,cupiéramos o cupiésemos,cupierais o cupieseis,cupieran o cupiesen
81,debiera o debiese,debieras o debieses,debiera o debiese,debiéramos o debiésemos,debierais o debieseis,debieran o debiesen
82,recibiera o recibiese,recibieras o recibieses,recibiera o recibiese,recibiéramos o recibiésemos,recibierais o recibieseis,recibieran o recibiesen
83,acostara o acostase,acostaras o acostases,acostara o acostase,acostáramos o acostásemos,acostarais o acostaseis,acostaran o acostasen
84,levantara o levantase,levantaras o levantases,levantara o levantase,levantáramos o levantásemos,levantarais o levantaseis,levantaran o levantasen
85,moviera o moviese,movieras o movieses,moviera o moviese,moviéramos o moviésemos,movierais o movieseis,movieran o moviesen
86,cantara o cantase,cantaras o cantases,cantara o cantase,cantáramos o cantásemos,cantarais o cantaseis,cantaran o cantasen
87,ayudara o ayudase,ayudaras o ayudases,ayudara o ayudase,ayudáramos o ayudásemos,ayudarais o ayudaseis,ayudaran o ayudasen
88,contara o contase,contaras o contases,contara o contase,contáramos o contásemos,contarais o contaseis,contaran o contasen
89,vendiera o vendiese,vendieras o vendieses,vendiera o vendiese,vendiéramos o vendiésemos,vendierais o vendieseis,vendieran o vendiesen
90,hirviera o hirviese,hirvieras o hirvieses,hirviera o hirviese,hirviéramos o hirviésemos,hirvierais o hirvieseis,hirvieran o hirviesen
91,ganara o ganase,ganaras o ganases,ganara o ganase,ganáramos o ganásemos,ganarais o ganaseis,ganaran o ganasen
92,viajara o viajase,viajaras o viajases,viajara o viajase,viajáramos o viajásemos,viajarais o viajaseis,viajaran o viajasen
93,escuchara o escuchase,escucharas o escuchases,escuchara o escuchase,escucháramos o escuchásemos,escucharais o escuchaseis,escucharan o escuchasen
94,cogiera o cogiese,cogieras o cogieses,cogiera o cogiese,cogiéramos o cogiésemos,cogierais o cogieseis,cogieran o cogiesen
95,necesitara o necesitase,necesitaras o necesitases,necesitara o necesitase,necesitáramos o necesitásemos,necesitarais o necesitaseis,necesitaran o necesitasen
96,despertara o despertase,despertaras o despertases,despertara o despertase,despertáramos o despertásemos,despertarais o despertaseis,despertaran o despertasen
97,recordara o recordase,recordaras o recordases,recordara o recordase,recordáramos o recordásemos,recordarais o recordaseis,recordaran o recordasen
98,deseara o desease,desearas o deseases,deseara o desease,deseáramos o deseásemos,desearais o deseaseis,desearan o deseasen
99,huyera o huyese,huyeras o huyeses,huyera o huyese,huyéramos o huyésemos,huyerais o huyeseis,huyeran o huyesen
100,decidiera o decidiese,decidieras o decidieses,decidiera o decidiese,decidiéramos o decidiésemos,decidierais o decidieseis,decidieran o decidiesen
101,lavara o lavase,lavaras o lavases,lavara o lavase,laváramos o lavásemos,lavarais o lavaseis,lavaran o lavasen
102,subiera o subiese,subieras o subieses,subiera o subiese,subiéramos o subiésemos,subierais o subieseis,subieran o subiesen
103,pareciera o pareciese,parecieras o parecieses,pareciera o pareciese,pareciéramos o pareciésemos,parecierais o parecieseis,parecieran o pareciesen
104,practicara o practicase,practicaras o practicases,practicara o practicase,practicáramos o practicásemos,practicarais o practicaseis,practicaran o practicasen
105,nadara o nadase,nadaras o nadases,nadara o nadase,nadáramos o nadásemos,nadarais o nadaseis,nadaran o nadasen
106,despidiera o despidiese,despidieras o despidieses,despidiera o despidiese,despidiéramos o despidiésemos,despidierais o despidieseis,despidieran o despidiesen
107,tradujera o tradujese,tradujeras o tradujeses,tradujera o tradujese,tradujéramos o tradujésemos,tradujerais o tradujeseis,tradujeran o tradujesen
108,sonriera o sonriese,sonrieras o sonrieses,sonriera o sonriese,sonriéramos o sonriésemos,sonrierais o sonrieseis,sonrieran o sonriesen
109,mintiera o mintiese,mintieras o mintieses,mintiera o mintiese,mintiéramos o mintiésemos,mintierais o mintieseis,mintieran o mintiesen
110,hiriera o hiriese,hirieras o hirieses,hiriera o hiriese,hiriéramos o hiriésemos,hirierais o hirieseis,hirieran o hiriesen
111,usara o usase,usaras o usases,usara o usase,usáramos o usásemos,usarais o usaseis,usaran o usasen
112,casara o casase,casaras o casases,casara o casase,casáramos o casásemos,casarais o casaseis,casaran o casasen
113,sugiriera o sugiriese,sugirieras o sugirieses,sugiriera o sugiriese,sugiriéramos o sugiriésemos,sugirierais o sugirieseis,sugirieran o sugiriesen
