,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
149,escogía,escogías,escogía,escogíamos,escogíais,escogían
150,dolía,dolías,dolía,dolíamos,dolíais,dolían
151,exigía,exigías,exigía,exigíamos,exigíais,exigían
152,entraba,entrabas,entraba,entrábamos,entrabais,entraban
153,volaba,volabas,volaba,volábamos,volabais,volaban
154,explicaba,explicabas,explicaba,explicábamos,explicabais,explicaban
155,destruía,destruías,destruía,destruíamos,destruíais,destruían
156,navegaba,navegabas,navegaba,navegábamos,navegabais,navegaban
157,lloraba,llorabas,lloraba,llorábamos,llorabais,lloraban
158,valía,valías,valía,valíamos,valíais,valían
159,apagaba,apagabas,apagaba,apagábamos,apagabais,apagaban
160,probaba,probabas,probaba,probábamos,probabais,probaban
161,halagaba,halagabas,halagaba,halagábamos,halagabais,halagaban
162,manejaba,manejabas,manejaba,manejábamos,manejabais,manejaban
163,cortaba,cortabas,cortaba,cortábamos,cortabais,cortaban
164,obtenía,obtenías,obtenía,obteníamos,obteníais,obtenían
165,gozaba,gozabas,gozaba,gozábamos,gozabais,gozaban
166,hartaba,hartabas,hartaba,hartábamos,hartabais,hartaban
167,sufría,sufrías,sufría,sufríamos,sufríais,sufrían
168,incluía,incluías,incluía,incluíamos,incluíais,incluían
169,habilitaba,habilitabas,habilitaba,habilitábamos,habilitabais,habilitaban
170,aburría,aburrías,aburría,aburríamos,aburríais,aburrían
171,habitaba,habitabas,habitaba,habitábamos,habitabais,habitaban
172,echaba,echabas,echaba,echábamos,echabais,echaban
173,regresaba,regresabas,regresaba,regresábamos,regresabais,regresaban
174,corregía,corregías,corregía,corregíamos,corregíais,corregían
175,prestaba,prestabas,prestaba,prestábamos,prestabais,prestaban
176,barría,barrías,barría,barríamos,barríais,barrían
177,hacendaba,hacendabas,hacendaba,hacendábamos,hacendabais,hacendaban
178,secaba,secabas,secaba,secábamos,secabais,secaban
179,cruzaba,cruzabas,cruzaba,cruzábamos,cruzabais,cruzaban
180,hinchaba,hinchabas,hinchaba,hinchábamos,hinchabais,hinchaban
181,hostigaba,hostigabas,hostigaba,hostigábamos,hostigabais,hostigaban
182,empacaba,empacabas,empacaba,empacábamos,empacabais,empacaban
183,hospedaba,hospedabas,hospedaba,hospedábamos,hospedabais,hospedaban
184,cenaba,cenabas,cenaba,cenábamos,cenabais,cenaban
185,defendía,defendías,defendía,defendíamos,defendíais,defendían
186,entregaba,entregabas,entregaba,entregábamos,entregabais,entregaban
187,sumergía,sumergías,sumergía,sumergíamos,sumergíais,sumergían
188,producía,producías,producía,producíamos,producíais,producían
189,acababa,acababas,acababa,acabábamos,acababais,acababan
190,organizaba,organizabas,organizaba,organizábamos,organizabais,organizaban
191,bajaba,bajabas,bajaba,bajábamos,bajabais,bajaban
192,solía,solías,solía,solíamos,solíais,solían
193,patinaba,patinabas,patinaba,patinábamos,patinabais,patinaban
194,colgaba,colgabas,colgaba,colgábamos,colgabais,colgaban
195,calentaba,calentabas,calentaba,calentábamos,calentabais,calentaban
196,hipnotizaba,hipnotizabas,hipnotizaba,hipnotizábamos,hipnotizabais,hipnotizaban
197,peinaba,peinabas,peinaba,peinábamos,peinabais,peinaban
198,tendía,tendías,tendía,tendíamos,tendíais,tendían
199,contestaba,contestabas,contestaba,contestábamos,contestabais,contestaban
200,encendía,encendías,encendía,encendíamos,encendíais,encendían
201,participaba,participabas,participaba,participábamos,participabais,participaban
202,hacinaba,hacinabas,hacinaba,hacinábamos,hacinabais,hacinaban
203,quitaba,quitabas,quitaba,quitábamos,quitabais,quitaban
204,heredaba,heredabas,heredaba,heredábamos,heredabais,heredaban
